danceability,energy,loudness,speechiness,acousticness,instrumentalness,duration_ms,new
0.831,0.814,-7.364,0.42,0.0598,0.0134,124539,10483.970644850819
0.719,0.493,-7.23,0.0794,0.401,0.0,224427,10483.970644850819
0.85,0.893,-4.783,0.0623,0.0138,4.14e-06,98821,10483.970644850819
0.476,0.781,-4.71,0.103,0.0237,0.0,123661,10483.970644850819
0.798,0.624,-7.668,0.293,0.217,0.0,123298,10483.970644850819
0.721,0.568,-11.295,0.414,0.0452,0.212,112511,10483.970644850819
0.718,0.668,-4.162,0.137,0.0254,0.0078,77584,10483.970644850819
0.694,0.711,-5.525,0.221,0.0397,0.0,127524,10483.970644850819
0.774,0.751,-2.445,0.198,0.0614,0.0,140326,10483.970644850819
0.893,0.907,-10.406,0.367,0.152,0.0311,121979,10483.970644850819
0.864,0.365,-10.219,0.0655,0.187,0.0,101172,10483.970644850819
0.736,0.932,-3.726,0.271,0.146,0.0025,115775,10483.970644850819
0.825,0.761,-5.389,0.104,0.0111,0.00359,163371,10483.970644850819
0.767,0.576,-9.683,0.256,0.145,2.61e-06,96062,10483.970644850819
0.765,0.726,-5.58,0.191,0.0077,0.0,135079,10483.970644850819
0.617,0.541,-4.113,0.78,0.125,0.0,107999,10483.970644850819
0.755,0.298,-15.032,0.0915,0.154,0.329,123054,10483.970644850819
0.814,0.575,-9.635,0.0635,0.172,0.000291,192833,10483.970644850819
0.812,0.813,-5.583,0.0984,0.0987,0.00015,180880,10483.970644850819
0.849,0.648,-6.188,0.0832,0.0725,0.00592,111020,10483.970644850819
0.602,0.578,-5.61,0.0283,0.0343,0.0,186261,10483.970644850819
0.876,0.768,-6.606,0.201,0.112,1.21e-05,124676,10483.970644850819
0.777,0.711,-3.902,0.137,0.312,0.0,153685,10483.970644850819
0.829,0.59,-7.818,0.263,0.0391,0.0107,127128,10483.970644850819
0.783,0.929,0.551,0.0893,0.2,0.00414,134447,10483.970644850819
0.787,0.727,-7.194,0.265,0.000997,0.0017,140038,10483.970644850819
0.705,0.648,-10.467,0.141,0.00476,0.000595,155350,10483.970644850819
0.69,0.76,-5.431,0.0895,0.0525,0.0,154929,10483.970644850819
0.799,0.966,-4.586,0.366,0.089,0.0,137221,10483.970644850819
0.936,0.476,-11.439,0.403,0.0139,0.0,175543,10483.970644850819
0.838,0.634,-8.076,0.0931,0.00537,0.0,168202,10483.970644850819
0.964,0.51,-7.003,0.242,0.000214,6.47e-06,136650,10483.970644850819
0.83,0.387,-12.908,0.345,0.0858,0.407,132193,10483.970644850819
0.455,0.525,-12.692,0.0455,0.136,0.734,159974,10483.970644850819
0.748,0.573,-9.907,0.0543,0.484,2.59e-06,195875,10483.970644850819
0.745,0.688,-9.263,0.103,0.264,0.00906,107750,10483.970644850819
0.722,0.519,-12.871,0.0516,0.0253,0.0114,143833,10483.970644850819
0.657,0.473,-12.051,0.0368,0.232,0.026,114500,10483.970644850819
0.936,0.474,-9.694,0.393,0.0213,0.0,166910,10483.970644850819
0.765,0.62,-7.338,0.14,0.0643,0.00019,131350,10483.970644850819
0.65,0.952,-2.686,0.5,0.0912,0.351,122211,10483.970644850819
0.386,0.936,-5.551,0.604,0.101,0.00192,197053,10483.970644850819
0.563,0.68,-5.953,0.39,0.236,3.28e-05,110000,10483.970644850819
0.777,0.902,-3.915,0.349,0.0905,0.0,134844,10483.970644850819
0.607,0.749,-4.497,0.0728,0.00641,7.66e-05,126224,10483.970644850819
0.628,0.573,-8.161,0.0673,0.00362,0.0,132702,10483.970644850819
0.468,0.325,-8.267,0.245,0.115,0.726,90645,10483.970644850819
0.512,0.44,-7.816,0.233,0.00386,3.11e-06,86805,10483.970644850819
0.504,0.48,-8.885,0.045,0.832,0.000252,176901,10483.970644850819
0.608,0.662,-8.474,0.0338,0.0246,7.85e-06,98482,10483.970644850819
0.783,0.684,-7.435,0.0358,0.00873,0.000548,117447,10483.970644850819
0.668,0.479,-7.321,0.0436,0.0612,0.408,128888,10483.970644850819
0.528,0.617,-6.123,0.0657,0.202,0.153,199664,10483.970644850819
0.796,0.756,-2.244,0.0572,0.0059,0.00679,112000,10483.970644850819
0.299,0.381,-6.951,0.038,0.445,0.0023,234000,10483.970644850819
0.644,0.64,-7.877,0.0688,0.00329,0.0,125048,10483.970644850819
0.473,0.843,-5.981,0.225,0.00345,2.53e-05,183536,10483.970644850819
0.471,0.618,-9.965,0.108,0.0219,0.00664,125500,10483.970644850819
0.665,0.446,-14.845,0.172,0.069,1.88e-05,156048,10483.970644850819
0.812,0.707,-6.815,0.0752,0.236,0.0,175203,10483.970644850819
0.262,0.897,-2.712,0.398,0.0237,0.0,153104,10483.970644850819
0.571,0.865,-4.99,0.0397,0.0042,0.207,166426,10483.970644850819
0.753,0.679,-7.092,0.0349,0.324,4.21e-05,145078,10483.970644850819
0.935,0.429,-6.697,0.118,0.0308,0.0,123481,10483.970644850819
0.726,0.634,-6.844,0.0792,0.553,4.43e-06,126850,10483.970644850819
0.854,0.98,-1.181,0.0569,0.263,0.00053,122000,10483.970644850819
0.526,0.62,-7.244,0.281,0.067,0.000241,205766,10483.970644850819
0.84,0.444,-10.58,0.211,0.532,0.000884,145636,10483.970644850819
0.818,0.576,-7.588,0.162,0.29,0.0,150187,10483.970644850819
0.881,0.903,-0.955,0.0813,0.267,0.00253,131500,10483.970644850819
0.77,0.623,-7.025,0.0569,0.0601,0.0,199100,10483.970644850819
0.8,0.505,-6.54,0.115,0.0206,2.05e-05,128418,10483.970644850819
0.781,0.493,-7.649,0.0522,0.0717,0.586,133747,10483.970644850819
0.817,0.911,-2.153,0.0455,0.187,0.00173,116000,10483.970644850819
0.814,0.74,-5.438,0.0947,0.11,2.28e-05,183937,10483.970644850819
0.678,0.77,-3.206,0.145,0.125,0.0,133903,10483.970644850819
0.755,0.788,-4.572,0.216,0.0355,0.0,137195,10483.970644850819
0.81,0.524,-6.705,0.0441,0.0444,0.714,118236,10483.970644850819
0.806,0.702,-6.643,0.0688,0.274,0.138,126874,10483.970644850819
0.89,0.74,-4.303,0.223,0.318,1.17e-05,112500,10483.970644850819
0.909,0.573,-6.856,0.181,0.0332,0.0163,134271,10483.970644850819
0.735,0.933,-2.151,0.0788,0.0185,0.0108,281538,10483.970644850819
0.698,0.987,-0.734,0.167,0.0226,0.000558,92308,10483.970644850819
0.577,0.692,-5.96,0.64,0.372,0.0596,122483,10483.970644850819
0.827,0.771,-4.374,0.318,0.0456,0.0,166452,10483.970644850819
0.68,0.707,-5.133,0.127,0.00914,0.00638,149804,10483.970644850819
0.721,0.899,-4.07,0.057,0.0116,2.51e-05,141972,10483.970644850819
0.777,0.812,-5.146,0.0447,0.26,0.264,140613,10483.970644850819
0.579,0.813,-4.573,0.367,0.0605,3.5e-05,135822,10483.970644850819
0.86,0.524,-4.698,0.0729,0.578,0.96,148939,10483.970644850819
0.425,0.508,-10.01,0.13,0.0639,0.181,142232,10483.970644850819
0.494,0.695,-10.566,0.751,0.00421,0.0158,197077,10483.970644850819
0.649,0.772,-5.332,0.133,0.717,0.00305,219749,10483.970644850819
0.814,0.758,-6.512,0.384,0.185,0.091,131590,10483.970644850819
0.37,0.856,-5.489,0.401,0.403,0.00967,236301,10483.970644850819
0.888,0.906,-4.028,0.365,0.221,0.000474,137822,10483.970644850819
0.816,0.62,-7.804,0.51,0.255,1.09e-05,184733,10483.970644850819
0.713,0.839,-6.377,0.349,0.00417,0.706,149230,10483.970644850819
0.449,0.645,-4.784,0.0366,0.00956,0.00846,207442,10483.970644850819
0.923,0.94,-5.828,0.16,0.0204,9.67e-06,187260,10483.970644850819
0.832,0.802,-4.039,0.22,0.343,0.00361,166798,10483.970644850819
0.569,0.712,-4.911,0.347,0.378,3.41e-05,145451,10483.970644850819
0.476,0.825,-3.941,0.0379,7.44e-05,6.51e-05,111491,10483.970644850819
0.403,0.696,-5.956,0.236,0.00114,0.265,272562,10483.970644850819
0.836,0.706,-4.065,0.0497,5.19e-05,0.0,76042,10483.970644850819
0.818,0.709,-4.425,0.269,0.00511,0.0,136777,10483.970644850819
0.849,0.522,-5.514,0.151,0.0019,0.0,138266,10483.970644850819
0.703,0.536,-4.323,0.297,0.000883,0.0112,107050,10483.970644850819
0.708,0.298,-16.427,0.0578,0.698,0.772,139375,10483.970644850819
0.852,0.721,-7.4,0.0751,0.354,0.000645,140187,10483.970644850819
0.694,0.514,-11.063,0.0449,0.0336,0.000164,142000,10483.970644850819
0.595,0.333,-13.235,0.0416,0.474,0.0268,123167,10483.970644850819
0.721,0.803,-9.115,0.0822,0.557,4.51e-05,178167,10483.970644850819
0.846,0.616,-7.82,0.0669,0.0129,0.00309,106250,10483.970644850819
0.76,0.576,-8.238,0.0491,0.11,3.41e-06,140750,10483.970644850819
0.529,0.817,-10.039,0.0945,0.0198,3.98e-05,128261,10483.970644850819
0.559,0.514,-8.78,0.0523,0.0203,0.000109,123500,10483.970644850819
0.965,0.59,-8.639,0.0619,0.607,0.0,144735,10483.970644850819
0.596,0.881,-4.566,0.269,0.00319,2.37e-06,67030,10483.970644850819
0.712,0.982,-2.386,0.289,0.0127,0.0,115383,10483.970644850819
0.697,0.873,-3.189,0.206,0.137,0.0,151667,10483.970644850819
0.841,0.516,-12.32,0.28,0.0892,0.0,152137,10483.970644850819
0.739,0.463,-5.451,0.293,0.00673,0.0,175386,10483.970644850819
0.865,0.891,-5.618,0.265,0.0866,0.0,125048,10483.970644850819
0.775,0.634,-7.535,0.105,0.176,1.78e-06,184189,10483.970644850819
0.739,0.498,-7.448,0.371,0.136,0.0,164807,10483.970644850819
0.725,0.578,-8.311,0.0864,0.0259,0.000117,133068,10483.970644850819
0.63,0.876,-4.871,0.189,0.0166,0.0,150831,10483.970644850819
0.704,0.838,-4.042,0.29,0.0854,0.0,218201,10483.970644850819
0.735,0.811,-3.735,0.0601,0.11,0.164,100807,10483.970644850819
0.864,0.727,-5.996,0.1,0.0229,0.0,159242,10483.970644850819
0.48,0.984,-0.726,0.264,0.0484,0.0,92918,10483.970644850819
0.726,0.823,-4.666,0.115,0.00353,0.0,110793,10483.970644850819
0.755,0.765,-7.256,0.288,0.0272,0.0,144018,10483.970644850819
0.881,0.445,-9.83,0.107,0.00209,0.0647,138240,10483.970644850819
0.849,0.98,-0.964,0.0575,0.254,0.000787,122182,10483.970644850819
0.602,0.762,-6.149,0.0347,0.0498,0.00819,159987,10483.970644850819
0.924,0.543,-6.612,0.0854,0.432,7.32e-05,183159,10483.970644850819
0.919,0.493,-8.81,0.0613,0.14,1.62e-06,126768,10483.970644850819
0.848,0.663,-5.606,0.245,0.523,0.0,255413,10483.970644850819
0.475,0.788,-4.851,0.342,0.231,0.0,237101,10483.970644850819
0.762,0.41,-11.979,0.0551,0.278,3.43e-05,271404,10483.970644850819
0.789,0.623,-8.337,0.138,0.242,0.0,151629,10483.970644850819
0.756,0.794,-4.539,0.208,0.0362,0.0,137195,10483.970644850819
0.799,0.546,-6.081,0.323,0.185,3.19e-06,182647,10483.970644850819
0.931,0.273,-11.723,0.176,0.00946,0.0,150100,10483.970644850819
0.898,0.547,-5.707,0.313,0.484,1.04e-05,198133,10483.970644850819
0.835,0.559,-5.617,0.0327,0.00177,5.5e-05,144812,10483.970644850819
0.716,0.745,-6.374,0.318,0.216,0.0,168883,10483.970644850819
0.723,0.459,-10.259,0.239,0.00096,0.0,197143,10483.970644850819
0.849,0.736,-6.661,0.147,0.00493,0.0,173479,10483.970644850819
0.762,0.509,-7.354,0.0631,0.148,0.0,175465,10483.970644850819
0.756,0.74,-4.531,0.0563,0.00834,0.171,171782,10483.970644850819
0.727,0.846,-3.555,0.194,0.0245,0.0,145568,10483.970644850819
0.783,0.497,-7.652,0.0508,0.0716,0.6,133748,10483.970644850819
0.841,0.576,-7.593,0.125,0.289,0.0,150205,10483.970644850819
0.685,0.402,-8.076,0.0734,0.208,0.0206,104230,10483.970644850819
0.556,0.449,-10.363,0.227,0.0807,0.0372,203960,10483.970644850819
0.625,0.45,-9.985,0.0311,0.0776,0.000217,206472,10483.970644850819
0.8,0.824,-5.159,0.0604,0.0128,0.000221,128000,10483.970644850819
0.734,0.724,-5.648,0.267,0.0133,0.0,203294,10483.970644850819
0.777,0.742,-8.223,0.289,0.165,0.0,130638,10483.970644850819
0.733,0.66,-6.87,0.0436,0.0219,0.0,227027,10483.970644850819
0.803,0.789,-3.434,0.0383,0.0304,0.0,106021,10483.970644850819
0.649,0.538,-9.793,0.0918,0.0483,0.401,150000,10483.970644850819
0.58,0.867,-4.031,0.165,0.0152,0.182,128109,10483.970644850819
0.801,0.679,-8.747,0.0527,0.17,8.85e-06,227115,10483.970644850819
0.677,0.655,-5.541,0.0433,0.0027,0.276,196827,10483.970644850819
